 name, category,description, lat,lng
 Айтос, city,,42.70000,27.25000
 Алфатар, city,,43.94444,27.28306
 Антоново, city,,43.15000,26.15833
 Априлци, city,,42.84028,24.91667
 Ардино, city,,41.58306,25.13306
 Асеновград, city,,42.00667,24.87583
 Балчик, city,,43.41389,28.16250
 Банкя, city,,42.70611,23.14778
 Банско, city,,41.83806,23.48889
 Баня, city,,42.54306,24.83306
 Батак, city,,41.94194,24.21694
 Батановци, city,,42.59778,22.95556
 Белене, city,,43.64889,25.12333
 Белица, city,,41.95000,23.55833
 Белово, city,,42.21139,24.01694
 Берковица, city,,43.23306,23.12417
 Благоевград, municipality,,42.01222,23.09083
 Бобов дол, city,,42.36139,23.00000
 Бобошево, city,,42.15000,23.00000
 Божурище, city,,42.76194,23.20139
 Бойчиновци, city,,43.47250,23.33306
 Болярово, city,,42.15000,26.81250
 Борово, city,,43.48778,25.80972
 Ботевград, city,,42.90778,23.79306
 Брацигово, city,,42.02528,24.37056
 Брезник, city,,42.73972,22.90361
 Брезово, city,,42.34889,25.07667
 Бургас, municipality,,42.50333,27.46500
 Бухово, city,,42.76472,23.56667
 Българово, city,,42.62028,27.30611
 Бяла, city,,43.46000,25.73778
 Бяла Слатина, city,,43.46667,23.93750
 Бяла черква, city,,43.20528,25.31056
 Варна, municipality,,43.19722,27.91250
 Велики Преслав, city,,43.16250,26.81222
 Велико Търново, municipality,,43.07833,25.62722
 Велинград, city,,42.02722,23.99639
 Ветово, city,,43.70306,26.26361
 Ветрен, city,,42.28083,24.04611
 Видин, municipality,,43.99306,22.87056
 Враца, municipality,,43.20000,23.54861
 Вълчедръм, city,,43.69556,23.44472
 Вълчи дол, city,,43.40417,27.55111
 Върбица, city,,42.99556,26.67389
 Вършец, city,,43.19167,23.28528
 Габрово, municipality,,42.87417,25.31861
 Генерал Тошево, city,,43.70167,28.03944
 Главиница, city,,43.91167,26.83611
 Глоджево, city,,43.73528,26.39028
 Годеч, city,,43.00972,23.04667
 Горна Оряховица, city,,43.12194,25.68917
 Гоце Делчев, city,,41.57167,23.72611
 Гулянци, city,,43.63917,24.69528
 Гурково, city,,42.65722,25.79583
 Гълъбово, city,,42.14611,25.87694
 Две могили, city,,43.59333,25.87556
 Дебелец, city,,43.04361,25.62083
 Девин, city,,41.74167,24.39944
 Девня, city,,43.21889,27.55583
 Джебел, city,,41.49694,25.30417
 Димитровград, city,,42.06028,25.59306
 Добринище, city,,41.82083,23.56250
 Добрич, municipality,,43.56889,27.82694
 Долна баня, city,,42.31111,23.76556
 Долна Митрополия, city,,43.46806,24.51972
 Долна Оряховица, city,,43.15639,25.73917
 Долни Дъбник, city,,43.40861,24.44250
 Доспат, city,,41.64389,24.15889
 Драгоман, city,,42.92194,22.92972
 Дряново, city,,42.97472,25.47333
 Дулово, city,,43.82250,27.13944
 Дупница, city,,42.26222,23.10861
 Дългопол, city,,43.04972,27.34417
 Елена, city,,42.92944,25.87722
 Елин Пелин, city,,42.66444,23.59861
 Елхово, city,,42.17500,26.57333
 Етрополе, city,,42.83444,24.00111
 Завет, city,,43.75833,26.67806
 Златарица, city,,43.04667,25.89056
 Златица, city,,42.71361,24.13861
 Златоград, city,,41.38000,25.09333
 Ивайловград, city,,41.52750,26.12500
 Искър, city,,43.45556,24.26194
 Исперих, city,,43.71361,26.83194
 Ихтиман, city,,42.43806,23.81583
 Каблешково, city,,42.65944,27.56611
 Каварна, city,,43.42611,28.33861
 Казанлък, city,,42.61861,25.39417
 Калофер, city,,42.61139,24.97472
 Камено, city,,42.57278,27.29556
 Каолиново, city,,43.61694,27.09056
 Карлово, city,,42.64083,24.80750
 Карнобат, city,,42.64694,26.98444
 Каспичан, city,,43.31389,27.16111
 Кермен, city,,42.50611,26.25750
 Килифарево, city,,42.99417,25.62111
 Китен, city,,42.23583,27.77417
 Клисура, city,,42.69444,24.44917
 Кнежа, city,,43.49778,24.08111
 Козлодуй, city,,43.77667,23.72167
 Койнаре, city,,43.35694,24.14444
 Копривщица, city,,42.63722,24.35972
 Костандово, city,,42.02472,24.10972
 Костенец, city,,42.30778,23.85778
 Костинброд, city,,42.81833,23.22472
 Котел, city,,42.88917,26.44722
 Кочериново, city,,42.08611,23.05778
 Кресна, city,,41.72056,23.16000
 Криводол, city,,43.37250,23.48139
 Кричим, city,,42.04694,24.46639
 Крумовград, city,,41.47250,25.65417
 Кубрат, city,,43.79667,26.50028
 Куклен, city,,42.03417,24.78750
 Кърджали, municipality,,41.64278,25.36833
 Кюстендил, municipality,,42.28139,22.68833
 Левски, city,,43.35917,25.14167
 Летница, city,,43.30722,25.05806
 Ловеч, municipality,,43.13472,24.71694
 Лозница, city,,43.37167,26.59861
 Лом, city,,43.82556,23.23750
